ID,Category,SubCategory,Content,article_distance
N37131,sports,baseball_mlb,What recent history tells us to expect from World Series Game 7 Will the Nationals and Astros give us a classic or a clunker?,0.1342949336853823
N23979,finance,markets,"China already snapping up U.S. farm goods, Trump claims President Donald Trump boasted Sunday without providing evidence that China had ""already begun"" making large purchases of U.S. agricultural products as part of last week's tariff deal with Beijing.",0.1371721798018279
N23887,news,newsus,"Video allegedly shows police officer roughing up 11-year-old girl There's no excuse for the way this girl was treated, the Farmington police chief said.",0.1406168769729052
N23163,news,newspolitics,"'You people with this phony Emoluments Clause': Cabinet meeting devolves into 71 minutes of Trump grievances President Trump, trying to dig out from two new political holes of his own making on top of the expanding House impeachment inquiry, held forth for 71 minutes Monday during what was ostensibly a Cabinet meeting but ended up being a familiar torrent of grievance, defensiveness and bold statements about his expansive view of his own powers.",0.14106667671734785
N23614,tv,tv-celebrity,"John Witherspoon Dies: Comedian & 'Friday' Star Was 77 John Witherspoon, an actor-comedian who for decades made audiences laugh in television shows and films, including the hit Friday franchise, died suddenly at his home today. He was 77. ""It is with deepest sorrow that we can confirm our beloved husband and father, John Witherspoon, one of the hardest working men in show business, died",0.1471197516066697
N55051,lifestyle,voices,I Am Unapologetically Raising My Daughter Without Religion ,0.14898901509469797
N24691,news,newsus,"Bill Macy, Bea Arthur's Husband on 'Maude,' Dies at 97 Norman Lear saw him choking on a chicken bone and brought him to Hollywood. The actor also appeared in 'My Favorite Year' and 'The Late Show.'",0.15072834056651319
N58936,news,newsus,Beloved grandfather's body pulled from collapsed Hard Rock hotel A family holding vigil outside the site of the Hard Rock hotel construction collapse received the news they hoped they'd never hear.,0.15381263434833647
N16292,foodanddrink,foodnews,"What it's like to cook for Kate Middleton and Prince William, according to Giada De Laurentiis One of the professional chef's favorite career moments was the day she cooked for the Duke and Duchess of Cambridge at a polo charity event.",0.1538176218566939
N48076,tv,tvnews,"Whoopi Goldberg Asks Meghan McCain to 'Respect' Her 'View' Co-Hosts During Heated Discussion 'I'm not trying to cut you off, I'm trying to get you heard.'",0.1538176218566939
N38939,music,musicnews,"This Guns N' Roses Video Just Became the First From the '80s to Reach 1 Billion YouTube Views Guns 'N Roses' rockin' black-and-white video for ""Sweet Child O' Mine"" has become the first video from the 1980s to hit one billion YouTube views.",0.1538176218566939
N61005,sports,football_nfl,Randy Moss takes a perfect dig at Joe Buck's infamous 'disgusting act' call ,0.15395674858800382
N59026,news,newsus,"Cincinnati school board candidate accused of 'pretending to be black' in his ads A current CPS board member took to Twitter Sunday to say a candidate for the board ""is a white guy pretending to be black to get votes"" in ads.",0.15405098318728963
N21019,autos,autosnews,"Ford Baby Bronco Bare Body Allegedly Leaked In Exclusive Photo Ford had no comment, but it sure looks like the real deal.",0.15432711363429596
N41298,music,music-celebrity,"Katy Perry sued for $150k by photo agency for 3-year-old pic Katy Perry allegedly posted a paparazzi photo without paying the fee, a photo agency claims.",0.15432711363429596
N2805,movies,movienews,"Star Wars: The Rise of Skywalker trailer is out, tickets already on sale The trailer debuted during Monday Night Football halftime, on Carrie Fisher's birthday.",0.15464709063358767
N57239,movies,movies-celebrity,Emma Watson Says She Rejects the Word Single: 'I Call It Being Self-Partnered' Emma Watson Rejects the Word Single: 'I Call It Being Self-Partnered',0.15464709063358767
N24294,news,newspolitics,"Giuliani Mixes His Business With Role as Trump's Lawyer It is an extraordinary time in Washington, but it is more or less business as usual for Rudolph W. Giuliani. He is a central figure in the impeachment inquiry. He is under scrutiny by federal prosecutors. But throughout the building controversy, Mr. Giuliani has continued to represent clients, broker deals and take on consulting contracts in Washington and around the world in ways that leave him subject to criticism that he is using...",0.15476224313404308
N49179,movies,movienews,Joe Alwyn on Buzz Around Taylor Swift Romance: 'I'll Just Turn it Off' Joe Alwyn on Buzz Around Taylor Swift Romance: 'I'll Just Turn it Off',0.1548858455612443
N64049,news,newsworld,"After Soldiers Surrender El Chapo's Son, a Shocked Mexican City Sighs With Relief In the days following the siege of the city of Culiacán by the Sinaloa cartel, residents were overcome with relief: Relief that the terror is over.",0.1548858455612443
N5887,weather,weathertopstories,"Lucky Texas Storm Chaser Sees Hailstones Whizz Past Him During Tornado Storm chaser Marcus Diaz may think twice about how close he gets to the elements after large hailstones whizzed past his head from behind as he was filming an EF2 tornado in Tahoka, Texas, earlier this year. According to Accuweather, the winds in the tornado reached ""between 113 and 157 mph."" Diaz posted footage of the moment he was filming a ""dusty EF-2 tornado at close range"" as the hailstones almost hit ""the camera from behind,"" to Twitter on October 17. The lucky storm chaser told Storyful the footage was recorded on May 5. No injuries were reported as a result of the storm. However, the cyclone ripped through agricultural areas, ""causing structural damage to farms and wrecking equipment, power lines, and irrigation systems,"" according to media reports. Diaz may be better served in the future by heeding the advice of the National Oceanic and Atmospheric Administration (NOAA). According to NOAA, ""if you are unable to make it to a safe shelter, either get down in your car and cover your head, or abandon your car and seek shelter in a low lying area such as a ditch or ravine."" Credit: Marcus Diaz via Storyful",0.1548858455612443
