ID,Category,SubCategory,Content,Content_emb,PREDICTED_SENTIMENT
N55528,lifestyle,lifestyleroyals,"The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By Shop the notebooks, jackets, and more that the royals can't live without.","[ 0.00598588 -0.00779167 -0.00550099 ...  0.00097396  0.00416002
 -0.01633242]",Positive
N19639,health,weightloss,50 Worst Habits For Belly Fat These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.,"[-0.00488274 -0.00797078  0.02787219 ...  0.00433667 -0.00041634
 -0.0160693 ]",Positive
N61837,news,newsworld,"The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War Lt. Ivan Molchanets peeked over a parapet of sand bags at the front line of the war in Ukraine. Next to him was an empty helmet propped up to trick snipers, already perforated with multiple holes.","[-0.02751957 -0.01374641  0.00865168 ... -0.00631493  0.01789173
 -0.00339649]",Positive
N53526,health,voices,"I Was An NBA Wife. Here's How It Affected My Mental Health. I felt like I was a fraud, and being an NBA wife didn't help that. In fact, it nearly destroyed me.","[-0.03001492 -0.01490649  0.02134367 ... -0.00757946  0.00694206
 -0.03842112]",Neutral
N38324,health,medical,"How to Get Rid of Skin Tags, According to a Dermatologist They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest.","[ 0.00500781  0.00421446  0.02666649 ... -0.00075572 -0.0036657
  0.01438686]",Neutral
N2073,sports,football_nfl,Should NFL be able to fine players for criticizing officiating? Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.,"[ 0.00167503 -0.01166341  0.0321758  ... -0.00844963 -0.01482014
  0.00165601]",Negative
N49186,weather,weathertopstories,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits.","[-0.0164665  -0.01974407  0.00996381 ... -0.0176071   0.00552926
  0.0065027 ]",Positive
N59295,news,newsworld,"Chile: Three die in supermarket fire amid protests Three people have died in a supermarket fire as angry protests in Chile entered their seventh day, the mayor of capital city Santiago said on Sunday.","[-0.00912913 -0.0123786  -0.00650531 ... -0.01068045 -0.02056928
  0.00149944]",Neutral
N55189,tv,tvnews,"'Wheel Of Fortune' Guest Delivers Hilarious, Off The Rails Introduction We'd like to solve the puzzle, Pat: Blair Davis' loveless marriage? On Monday, ""Wheel of Fortune"" welcomed as a new contestant trucking business owner Blair Davis, who offered a biting introduction for himself. When host Pat Sajak asked the man from Cardiff, California, about his family, Davis plunged into one of the darkest personal summaries the show has likely ever heard. ""I've been trapped in a loveless marriage for the last 12 years to an...","[-0.02076263 -0.02040235  0.00585117 ... -0.00313574 -0.03004977
 -0.02215036]",Neutral
N42782,sports,baseball_mlb,Three takeaways from Yankees' ALCS Game 5 victory over the Astros The Yankees kept hope alive thanks to some impressive starting pitching and a pair of early home runs.,"[-0.00831829  0.00137671  0.030797   ...  0.00133641 -0.00860846
  0.00142265]",Neutral
N34694,tv,tvnews,Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now,"[-0.04290291 -0.01893831  0.03805614 ... -0.01998973 -0.00234806
 -0.02100268]",Neutral
N45794,news,newscrime,"Four flight attendants were arrested in Miami's airport after bringing in thousands in cash, police say Four American Airlines flight attendants were arrested at the Miami International Airport and charged with money laundering after bringing large amounts of cash into the country, police said.","[-0.00792405 -0.02219766  0.00905974 ... -0.00798212 -0.01796461
 -0.00567202]",Positive
N18445,sports,football_ncaa,"Michigan sends breakup tweet to Notre Dame as series goes on hold Parting is such sweet sorrow, say the Wolverines.","[-0.02022882 -0.04474263  0.02619625 ...  0.00080179  0.02450066
 -0.03107273]",Positive
N63302,lifestyle,lifestylebuzz,"This Wedding Photo of a Canine Best Man Captures Just How Deep a Dog's Love Truly Is When Mark Doublet made his dog, Marley, the best man at his wedding, he took his duties very seriously, and a photo of them together has gone viral.","[-0.01211442 -0.02157114 -0.00131272 ... -0.01691374 -0.00356401
 -0.00543794]",Positive
N10414,movies,movienews,"Robert Evans, 'Chinatown' Producer and Paramount Chief, Dies at 89 Robert Evans, the Paramount executive who produced ""Chinatown"" and ""Urban Cowboy"" and whose life became as melodramatic and jaw-dropping as any of his films, died on Saturday night. He was 89. Even though Hollywood history is filled with colorful characters, few can match the tale of Evans, whose life would seem far-fetched if it were","[ 0.0104208  -0.02964023  0.01387277 ... -0.00518769 -0.00581709
 -0.01260748]",Positive
N19347,news,newspolitics,"Former US Senator Kay Hagan dead at 66 Former U.S. Sen. Kay Hagan, a one-time Capitol Hill intern who went on to become North Carolina's first Democratic female senator, died Monday at her Greensboro home. She was 66.","[-0.01411231 -0.01802538 -0.0008481  ... -0.00934719 -0.0132792
  0.0052574 ]",Neutral
N31801,news,newspolitics,Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion Joe Biden has a complicated history with the Catholic Church.,"[-0.02242992 -0.02880555  0.0213033  ... -0.02017669 -0.00059651
  0.00245487]",Neutral
N49749,sports,football_nfl,"'Unbelievable.' Chiefs fans stunned, mad after loss to the Titans What the heck happened? The Chiefs were lining up for a field goal that would have given them and eight-point lead late in Sunday's game against the Tennessee Titans in Nashville. The snap came before holder Dustin Colquitt was ready and he threw the ball away. Colquitt was called for intentional grounding and the Titans took over. They drove down the field for a touchdown, two-point ...","[-0.0252933  -0.00498815  0.02239443 ...  0.00132538 -0.00786743
 -0.01647917]",Neutral
N15962,sports,football_nfl,"Ravens Coach Harbaugh: Michael Pierce's X-Rays Negative After Ankle Injury, No Timetable On Return Coach John Harbaugh said the x-rays on his ankle came back negative, but there is no clear timetable on his return.","[-0.00855243 -0.01656185  0.02135845 ... -0.01033661 -0.02010435
  0.03839867]",Positive
N28814,sports,basketball_ncaa,"Christyn Williams delivers all-around performance to fuel stilted UConn offense On a day when UConn's offense often felt stilted and stagnant, the Huskies turned to one player more than any other for scoring, playmaking and a general positive presence. Sophomore Christyn Williams was efficient Sunday, converting 10 of 17 field-goal attempts. She was consistent, with at least one field goal in all four quarters and at least two rebounds in three of the four. And she was ...","[-0.03134225 -0.00550178  0.00708578 ...  0.0031224   0.00184912
 -0.01168579]",Positive
N47850,news,newsus,"Texas teacher free on bond after assaulting a student A Texas teacher is free on bond tonight, after her arrest for assaulting a student. Her violent outburst was captured on cell phone video. Meg Oliver reports.","[ 0.00063624  0.00045125 -0.02144874 ... -0.02084653 -0.02813706
 -0.0112497 ]",Neutral
N52046,sports,racing,NASCAR championship standings 2019: Final 4 drivers set for Cup Series title race at Homestead Three Joe Gibbs Racing drivers will be competing with a Stewart-Haas Racing driver for a championship on Nov. 17.,"[-0.02162632  0.00156566  0.0055514  ... -0.00699637  0.00283202
  0.00480799]",Neutral
N4219,sports,icehockey_nhl,"In USA vs. Canada hockey, the winners are women At the end, what didn't matter was the score. What mattered most was the game. Playing ice hockey hard and fast. Some of the highest level hockey in the world, played by women. Even the players in Sunday's second sold-out exhibition game between the national women's teams of the United States and Canada   the best female players in the world and the biggest rivals   had stressed a higher purpose to this past week's joint training camp that put...","[-0.01739689 -0.03573627  0.02421688 ... -0.00877044 -0.00541607
 -0.03042164]",Neutral
N31089,news,newsus,Thief steals thousands from couple during wedding reception Emma and Chris Cox's picture-perfect wedding day was tarnished when a thief swiped a gift bag filled with thousands in cash. The brazen heist was caught on surveillance cameras.,"[-0.01545218 -0.02457944  0.01160878 ... -0.02074259 -0.01165461
 -0.01350102]",Positive
N41479,sports,basketball_nba,"Scouting report: Rockets vs. Pelicans When/where: 7 p.m. Monday/Smoothie King Center TV/radio: AT&T SportsNet/790-AM; Spanish: 850 AM/101.7 FM So far: Rockets 6-3, Pelicans 2-7 Lately: The Rockets have a three-game winning streak, their longest of the season, after beating the Bulls in Chicago on Saturday. The Pelicans picked up their second win of the season Saturday in Charlotte. Scouting the Rockets In the past six games against the Pelicans, the Rockets have outscored New...","[-0.01310579 -0.01448771  0.02033679 ...  0.00372798  0.01736726
 -0.01133821]",Neutral
N54299,sports,baseball_mlb,"Column: Baseball's hot stove league could use an NBA-style spark after the slow pace of the last few offseasons When discussing teams' interest in free agent Bryce Harper last year at the general managers meetings, agent Scott Boras cautioned that many suitors would be playing it cool over the winter. ""It's not a regatta,"" Boras said. ""It's a submarine race."" The submarine race finally ended more than three months later, during spring training, with Harper signing a record 13-year, $330 million deal ...","[-0.01395096 -0.02433308  0.01165284 ...  0.00124454 -0.02911858
  0.0144917 ]",Positive
N15236,finance,finance-real-estate,"Only 1 World City Charges More Than NYC Per Foot Of Apt Space The amount New Yorkers pay per square foot of real estate is much higher than almost anywhere else in the world, a recent report shows.","[ 0.03075677  0.00273496  0.02382117 ... -0.01989993 -0.00233422
 -0.02370621]",Neutral
N39850,lifestyle,lifestylebuzz,"Veterans Day event in Jeffersontown brings out the town and the Ladies for Liberty At a Veterans Day observation service in Jeffersontown Veterans Memorial Park Sunday, several hundred people gathered.","[-0.02473097 -0.01400238  0.01945871 ... -0.0012778  -0.01522513
 -0.00519009]",Neutral
N3354,sports,more_sports,NCDPS: Juveniles who escaped from N.C. development center may be in Hickory area ,"[ 0.01811199  0.00420386  0.00730301 ... -0.00425347 -0.02516362
  0.01465893]",Positive
N35584,travel,travelnews,"Veterans gather, share stories at Brick Store Museum exhibit ahead of American Legion Centennial The Brick Store Museum in Kennebunk held an open house for veterans Sunday in celebration of the American Legion's centennial anniversary. At the museum, a new exhibit looks back at 100 years of history between the town of Kennebunk and the Webber-Lefebvre American Legion Post 74. The exhibit displays various artifacts, historical documents, military uniforms and photos on loan from the post. Sign up for our Newsletters The American Legion is...","[-0.00559593  0.00221437  0.00729903 ... -0.00984383  0.00282591
 -0.01601842]",Neutral
